,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
1700097N02Rik,False,554,0.12771560236998025,90.88215931533904,776,554,True,0.13666356706212215,0.8350387120449054,1.3180622
Dnah8,False,433,0.08229098090849243,92.87360105332456,500,433,True,0.09855639431552216,0.6394761354643025,0.63123024
Sik1,False,753,0.15306122448979592,87.60697827518104,930,753,True,0.18383413320965603,0.7610877857425017,1.0583404
Pram1,False,701,0.15355497037524687,88.46280447662936,933,701,True,0.18132563154825904,0.7772190479190739,1.1149948
Platr17,False,301,0.07142857142857142,95.04608294930875,434,301,True,0.07607070778241846,0.7836522252788252,1.1375886
H2-Oa,False,1234,0.39499670836076367,79.69058591178407,2400,1234,True,0.4457190380683896,1.501838786346328,2.5364244
H2-DMa,False,2327,1.2894996708360764,61.70177748518763,7835,2327,True,0.8681862127550961,1.6557978500030341,1.7846465
H2-DMb2,False,1146,0.6349572086899276,81.13890717577354,3858,1146,True,0.6935260739704562,2.266214870172962,3.038282
H2-DMb1,False,1051,0.49078341013824883,82.7024358130349,2982,1051,True,0.3683759799028769,1.5109613428946382,2.5629249
H2-Ob,False,1010,0.31040157998683343,83.37722185648452,1886,1010,True,0.3880950894146289,1.569016789231412,2.731571
Gm20506,False,129,0.022547728768926925,97.87689269256089,137,129,True,0.03317658472441347,0.712894245177531,0.88908076
H2-Ab1,False,3337,5.450625411454904,45.07899934167215,33118,3337,True,2.096746345594238,3.720329856539983,1.8414391
H2-Aa,False,2684,4.987656352863726,55.826201448321264,30305,2684,True,2.037103570359962,3.7353862878018957,1.8551221
Gm20513,False,51,0.008887425938117182,99.16063199473338,54,51,True,0.012783982398436502,0.6521045076634493,0.6755822
H2-Eb1,False,2408,3.6621132323897303,60.36866359447004,22251,2408,True,1.7826637631295263,3.490828434164799,3.0829077
H2-Eb2,False,134,0.025181040157998682,97.7946017116524,153,134,True,0.04207023592794073,0.9052204200528198,1.5645462
Cfb,False,631,0.28406846609611586,89.61487820934826,1726,631,True,0.1910588666258042,1.187053702508943,2.554368
Hspa1b,False,433,0.10088874259381171,92.87360105332456,613,433,True,0.11408745862614957,0.8335727915986874,1.3129138
Hspa1a,False,303,0.07208689927583936,95.01316655694536,438,303,True,0.08845341126306502,1.1158132908292555,2.3041658
Sapcd1,False,75,0.015141540487162607,98.76563528637261,92,75,True,0.018003748844650502,0.6375042277454019,0.6243048
Aif1,False,1681,2.1074720210664912,72.33377221856485,12805,1681,True,0.9426441839641854,2.6050973828640687,2.5437968
Lst1,False,3883,5.192067149440422,36.092824226464785,31547,3883,True,1.9275844334213454,2.6288336834472648,0.8495033
